user_input,model,conversation_style,session_id,intent,content_filtered,total_latency,model_latency,generation_latency,tokens_per_second,token_count,timestamp
What is on the menu,GPT-4o,default,ef551e74-2e66-4e2c-88a9-ea70bfd324f9,conversation,False,18.725544168999477,5.473419426999499,13.252124741999978,24.67528840591414,327,2025-08-22T09:48:27.218573
Can I have orange chicken with Pad thai,GPT-4o,genz,ef551e74-2e66-4e2c-88a9-ea70bfd324f9,order,False,8.056707608000579,7.310414120000132,0.7462934880004468,121.93594271312404,91,2025-08-22T09:49:21.720823
Add jasmine tea ,GPT-4o,genz,ef551e74-2e66-4e2c-88a9-ea70bfd324f9,order,False,9.577631779000512,7.78112438900007,1.7965073900004427,69.57945216132353,125,2025-08-22T09:49:56.513289
menu,GPT-4o,default,165c6461-bc7c-4b35-83c8-e3d1ee6de045,conversation,False,17.331992336999974,4.918450223000036,12.413542113999938,25.21439868859026,313,2025-08-22T12:15:47.064822
